from,to,contract_address,value,evt_block_time,evt_tx_hash,Token Price (USD),Symbol,decimal,Token Liquidity (Top 20 LPs),Type,From Entity,From Context,To Entity,To Context
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,6308580000000000000,2023-05-01 00:18:11.000 UTC,0x507b11dfebdf35e3686f9af1ccbc72b9c0628467dea0b5302b5adfc0c75d49ca,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0x9696f59e4d72e237be84ffd425dcad154bf96976,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,738168180000000000000,2023-05-01 00:18:11.000 UTC,0x7ea996e75c5609a19f3a00291ced675a3267952228e5b1aed1ee10214c140042,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,713722540000,2023-05-01 00:18:23.000 UTC,0xaac059febf3368e409db5626a7aaf69acb9602284883576e26a28c594e127645,0.999914,USDC,6.0,1140350724.3129728,Tracked Wallet Buy & Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,Jump,None
0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,66675000000000000000,2023-05-01 00:18:23.000 UTC,0x17fb49f5415c7f0c8796ecc2c6a4e38f83e845bcd3314415cd19d892b051867c,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,760340000000000000000,2023-05-01 00:18:23.000 UTC,0xda904eea17c22783dfd2480208b10d3dd7dd90101b1a87ee9ccf54997d824b50,1846.75,WETH,18.0,476286796.9523346,Tracked Wallet Buy & Sell,Jump,None,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,134098500000000000000,2023-05-01 00:18:23.000 UTC,0x8b6f59df31e0e5563873cf4de95b46a958696685c0c086fd024265c16bd19e12,1846.75,ETH,18.0,476286796.9523346,Buy,,,Jump,None
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xdac17f958d2ee523a2206206994597c13d831ec7,266274960000,2023-05-01 00:18:47.000 UTC,0x5d93bdf5f4ad868eaa40fb2a59695a4cdb4e536ce7fb2fc3bfdad09c4f7bfc5e,1.001,USDT,6.0,939835820.9434662,Tracked Wallet Buy & Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,Jump,None
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xf05e2a70346560d3228c7002194bb7c5dc8fe100,0xdac17f958d2ee523a2206206994597c13d831ec7,658330180000,2023-05-01 00:19:11.000 UTC,0x0e66ffe08138d06ea0f97ef3048864ee05db3992f7e7292f5bbfd6fb57e6fdad,1.001,USDT,6.0,939835820.9434662,Tracked Wallet Buy & Sell,Jump,None,Jump,Binance deposit
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xf05e2a70346560d3228c7002194bb7c5dc8fe100,0xdac17f958d2ee523a2206206994597c13d831ec7,844595860000,2023-05-01 00:19:47.000 UTC,0x81c5ec4522499d62913bad9cf6cb114fc9d72a61ca9fed9b0481e81e617f83eb,1.001,USDT,6.0,939835820.9434662,Tracked Wallet Buy & Sell,Jump,None,Jump,Binance deposit
0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10654790529814043564,2023-05-01 00:26:47.000 UTC,0x87202efded29bbff018be1eca62a77ef2417187cba0876430ba0e656001adcc3,1846.75,WETH,18.0,476286796.9523346,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
