id,category,name,address,symbol,tvl,mcap,slug,7dma_%,1mma_%,Volume_7d_%,Volume_1m_%
801,Bridge,cBridge,,CELR,141308940.00912657,129285270.2174785,cbridge,-0.00098888425507071,-0.0006705706669346556,,
1879,Liquid Staking,Acala LCDOT,acala:-,ACA,138426756.96657008,,acala-lcdot,-0.004318618042227218,-0.002863354366615778,,
467,Lending,Benqi Lending,avax:0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,137369528.02833462,33440158.65288785,benqi-lending,0.014839569117229168,-0.00041205678589473216,,
504,Algo-Stables,Mento,-,-,129926107.43459761,287781646.19811004,mento,-0.002239739712969646,-0.0029533970929023212,,
2914,Liquid Staking,Binance staked ETH,,-,129720795.98630258,,binance-staked-eth,-0.007586456010228115,-0.007586456010228115,,
116,Dexes,Balancer V1,0xba100000625a3754423978a60c9317c58a424e3d,BAL,129416675.9213714,,balancer-v1,-0.001297187597119831,-0.0016915972339689445,18.34,-80.31
1115,Lending,Tectonic,cronos:0xeAdf7c01DA7E93FdB5f16B0aa9ee85f978e89E95,TONIC,125378188.11352645,35803850.85457588,tectonic,0.00010559453467573476,1.6367801940031512e-05,,
177,Services,DefiSaver,-,-,122042646.72937697,,defisaver,7.942602888300065e-05,-0.008735731445548733,,
279,Liquid Staking,StakeHound,0x160b1e5aabfd70b2fc40af815014925d71ceed7e,-,119899966.5248879,0.0,stakehound,-0.0004042857315864623,0.0003002465666459564,,
2076,Lending,Fraxlend,,-,119056245.79675406,,fraxlend,0.007037453788387493,0.007094575406861647,,
2313,CEX,Firi,,-,112436899.56350172,,firi,0.0024613976423086825,-4.28642508343291e-05,,
126,Dexes,Loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,111411096.01468146,414168022.3962166,loopring,-0.0014110244105182135,-0.0030140201743262818,,
412,Dexes,Thorchain,thorchain:0x0000000000000000000000000000000000000000,RUNE,110806021.07949871,396440974.0921627,thorchain,-0.002824643068941479,-0.0024611637207045955,,
508,Dexes,KlaySwap,-,KSP,110656292.59556192,0.0,klayswap,-0.0013329900977874232,-0.002409804846749908,-45.97,-58.67
1044,Liquid Staking,Stader,0x30d20208d987713f46dfd34ef128bb16c404d10f,SD,110186731.90064129,24709668.277316988,stader,-0.004311321654928646,-0.0015633705386921548,,
1864,Launchpad,Team Finance,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe,SWAP,109348744.44764891,27543604.35870558,team-finance,0.00030308048939975407,-0.0015758517778309278,,
2414,NFT Marketplace,Blur,0x5283d291dbcf85356a21ba090e6db59121208b44,BLUR,109131105.88086556,293559054.1328381,blur,0.020863105036386997,-0.006742118289227106,,
2346,CEX,WOO X,,-,108253996.83559877,,woo-x,0.009976472274399573,0.003664248752637711,,
484,Liquid Staking,Marinade Finance,solana:MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,106913783.19818337,7061645.75701496,marinade-finance,-0.03449090137125321,-0.006460533842179927,,
2292,CEX,Cake DeFi,,-,105703133.39068955,,cake-defi,0.0009279459635975762,0.034522105386246116,,
2542,RWA,Ondo Finance,-,-,105249413.40336406,,ondo-finance,0.00090124676694181,0.0139872968986825,,
2305,CEX,MaskEX,,-,102638461.59142718,,maskex,-0.0012350800401343953,0.00028889177870761173,,
1427,Liquid Staking,Benqi Staked Avax,avax:0x2b2C81e08f1Af8835a78Bb2A90AE924ACE0eA4bE,SAVAX,102161600.44101495,102130470.49451023,benqi-staked-avax,-0.00019018432611006553,-0.0004956159980540331,,
435,Cross Chain,Hop Protocol,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,HOP,100552669.97140487,8820484.023004854,hop-protocol,-0.0034505029052138703,-0.0006700139847011233,,
355,Liquidity manager,Gamma,0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,GAMMA,98753715.95742942,16148379.882537525,gamma,0.00013032997897943766,0.009864840825266175,,
1167,Synthetics,DefiChain Loans,-,DFI,98155775.49178976,,defichain-loans,0.005852354850058639,-0.00032028963504282526,,
2616,Yield,Conic Finance,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,CNC,96036027.24379936,,conic-finance,0.005333054926578651,0.0045774994525533685,,
2369,CEX,Phemex,,-,95418262.94749379,,phemex,-0.015209065054587412,-0.004438249744822098,,
140,Lending,Kava Lend,-,HARD,93440528.14677432,21870678.904230792,kava-lend,0.009026224213454004,0.0006748938228577916,,
431,Dexes,SUN.io,tron:TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,93380669.5263239,56658039.9045822,sun.io,0.033782812798901496,0.015144451552388638,,
2307,Dexes,Camelot V2,arbitrum:0x3d9907F9a368ad0a51Be60f7Da3b97cf940982D8,GRAIL,91499549.98709647,,camelot-v2,0.001933070494785083,-0.0066382075521872475,798.68,585.97
302,Dexes,SpookySwap,fantom:0x841fad6eae12c286d1fd18d1d525dffa75c7effe,BOO,90512401.662955,13527503.575572664,spookyswap,0.001259207982871935,-0.0013619253642777052,-25.28,-45.64
1700,Dexes,Wombat Exchange,bsc:0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,WOM,89690140.20543477,6667293.8378164135,wombat-exchange,-0.0014031587668050793,0.015571531826342966,3.15,-26.3
1087,Lending,Algofi Lend,,-,89551853.10249595,,algofi-lend,-0.003888613385238271,-0.0015976931433896446,,
306,Dexes,Quickswap Dex,polygon:0x831753dd7087cac61ab5644b308642cc1c33dc13,QUICK,89268004.02967809,35275626.63481198,quickswap-dex,-0.00314709564320248,-0.0035755843246763064,-42.33,-62.92
2415,Liquid Staking,OKC Liquid Staking,okexchain:0x97b05e6c5026d5480c4b6576a8699866eb58003b,stOKT,86746009.10106997,,okc-liquid-staking,-0.005691082278077242,0.006130445088683212,,
654,Dexes,Beethoven X,fantom:0xf24bcf4d1e507740041c9cfd2dddb29585adce1e,BEETS,84176012.56773219,5535770.5462464355,beethoven-x,0.0007644776305602008,-0.0028439512245252985,-33.74,-61.25
2298,CEX,Coinsquare,,-,81018837.5831009,,coinsquare,-0.0012121322052183192,-0.003600631082663841,,
266,Indexes,Set Protocol,-,-,80936708.89748725,,set-protocol,-0.002329177780715952,-0.002372031939976038,,
797,Dexes,Katana DEX,,-,80742256.20542046,,katana-dex,-0.021443126353918318,-0.002455083681332737,-35.94,-67.18
1108,Leveraged Farming,Gearbox,0xba3335588d9403515223f109edc4eb7269a9ab5d,GEAR,78975323.41257985,9360189.598428622,gearbox,-0.016615470356774575,-0.007326410907935177,,
2190,Yield,Sushi BentoBox,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,77531569.38267004,,sushi-bentobox,-0.0013495996651511355,-0.0004780075442927245,,
143,Payments,Flexa,0xff20817765cb7f73d4bde2e66e067e58d11095c2,AMP,76394733.14756288,191256834.67146286,flexa,-0.003932287404542434,-0.0024314615827509822,,
225,Indexes,Enzyme Finance,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,MLN,76159586.45666192,29384449.277494863,enzyme-finance,-0.0026642673946917217,-0.00045766083703946414,,
753,RWA,RealT Tokens,,-,75738433.771,,realt-tokens,0.0009729325432115132,0.0016439240513073106,,
1985,Dexes,Canto Dex,,-,70744656.78553528,,canto-dex,6.249873706920539e-05,0.0024433929562772683,-16.72,-68.04
1995,Dexes,Bancor V3,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,70717434.90698092,,bancor-v3,-0.004321914185323683,-0.004329874064870176,92.57,-26.21
2807,RWA,MatrixDock,0x530824DA86689C9C17CdC2871Ff29B058345b44a,STBT,68575806.95626791,0.0,matrixdock,0.004510293995250159,0.0013656710281420015,,
1901,Launchpad,DxSale,0xF063fE1aB7a291c5d06a86e14730b00BF24cB589,DX,68455307.65253362,1100624.0582777685,dxsale,-0.002436033991118025,-0.0005722876965800205,,
135,CDP,Kava Mint,,-,67886052.61124468,,kava-mint,-0.009467017882913598,-0.0032500220275110125,,
2678,Lending,Alpaca Lending,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,67093168.8775112,,alpaca-lending,-0.010852264480238127,-0.020063030125118786,,
2111,Lending,UwU Lend,0x55C08ca52497e2f1534B59E2917BF524D4765257,UWU,65788039.18836444,22593212.881873786,uwu-lend,-0.004488549508402939,-0.0007509597873801566,,
2237,Bridge,Axelar,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,AXL,65393749.347240835,125324701.68960688,axelar,-0.038858254098088074,-0.011133922281908903,,
2121,Dexes,Frax Swap,,-,65335810.70847025,,frax-swap,-0.003845949549773686,-0.001915741921376557,-52.77,-54.19
