Date,Symbol,Type,Total Value (USD),Token Price (USD),From Entity,To Entity,Token Liquidity (Top 20 LPs),Token Qty,From(Address),To(Address),Token Contract Address,Txn Hash,From Context
2023-05-01 00:28:35.000 UTC,DAI,Sell,30176.040871363733,1.0,Jump,,698573224.0174431,30176.040871363733,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,0x0598e992b9568897f8545fb6649e2d3626a375086fd52e8fbd41f44eb5b07396,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:28:35.000 UTC,WETH,Buy,29590.08645828216,1846.75,,Jump,476286796.9523346,16.022789472469018,0x60594a405d53811d3bc4766596efd80fd545a270,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0598e992b9568897f8545fb6649e2d3626a375086fd52e8fbd41f44eb5b07396,
2023-05-01 00:28:35.000 UTC,USDT,Sell,116719.38863484899,1.001,Jump,,939835820.9434662,116602.785849,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xdac17f958d2ee523a2206206994597c13d831ec7,0x56e664370899c8df5e836929ca1bbe8d276df7ef54cbeb4ece26c9ba4a798a68,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:28:35.000 UTC,WETH,Buy,114376.1697756984,1846.75,,Jump,476286796.9523346,61.93375918543301,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x56e664370899c8df5e836929ca1bbe8d276df7ef54cbeb4ece26c9ba4a798a68,
2023-05-01 00:28:59.000 UTC,WETH,Sell,20887.542357777256,1846.75,Jump,,476286796.9523346,11.310433116435497,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa735f1434913611cd3ca9502c1ed13a70d8204c75af0d904987eade06bcfd41a,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:28:59.000 UTC,LINK,Buy,19883.001304071662,6.6,,Jump,25388039.778178975,3012.5759551623732,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x514910771af9ca656af840dff83e8264ecf986ca,0xa735f1434913611cd3ca9502c1ed13a70d8204c75af0d904987eade06bcfd41a,
2023-05-01 00:29:11.000 UTC,ETH,Buy,40292.723915,1846.75,,Jump,476286796.9523346,21.81818,0x28c6c06298d514db089934071355e5743bf21d60,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x0bc550fc10775be91b01edc9f3e62b63f439b2172decd6adf361efaf7a82dd9e,
2023-05-01 00:29:11.000 UTC,WETH,Tracked Wallet Buy & Sell,786253.8125,1846.75,Jump,Jump,476286796.9523346,425.75,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xec60847ed85ea29497189db8cafdcd9435f8cd7fb2940bfa871ad2ef1be5e1cd,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:29:23.000 UTC,ETH,Buy,84331.83875,1846.75,,Jump,476286796.9523346,45.665,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x,0x166a611091731bb6218e4d08e6a0dfe54665366bed089e630d5fca35c3cb7a9b,
2023-05-01 00:29:59.000 UTC,USDC,Buy,498186.74225526,0.999914,,Jump,1140350724.3129728,498229.59,0x4f1a5a5d258522254933a6da9648c57fe230d17e,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc9979f288855a9be7ffc3eba4374fee34f6d0ae7e30f3526f3889a0bf5ff1733,
2023-05-01 00:31:47.000 UTC,USDT,Buy,766617.01116,1.001,,Jump,939835820.9434662,765851.16,0x28c6c06298d514db089934071355e5743bf21d60,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdfff4d251559947a0764d4356f8c1ae39b14e1f6ea2955e5628e7b87aa483f5a,
2023-05-01 00:31:59.000 UTC,USDT,Buy,5923.6476299,1.001,,Jump,939835820.9434662,5917.7299,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0xdac17f958d2ee523a2206206994597c13d831ec7,0x21d63c365142011e76bd2fc19c9f2be3632180c36326d2bf261be3a78a345db0,
2023-05-01 00:37:35.000 UTC,USDC,Sell,79978.6614795397,0.999914,Jump,,1140350724.3129728,79985.540236,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x593d4af1a5b029423a06d245def1be58f3bbe84a609893528b471f10efbbeac9,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:37:35.000 UTC,WETH,Buy,78367.06246107322,1846.75,,Jump,476286796.9523346,42.435122491443465,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x593d4af1a5b029423a06d245def1be58f3bbe84a609893528b471f10efbbeac9,
2023-05-01 00:42:47.000 UTC,USDC,Tracked Wallet Buy & Sell,455576.99700852,0.999914,Jump,Jump,1140350724.3129728,455616.18,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd02fe93448efd715d1236dddd14be3649de117cb3b0357892df5d3443da15304,None
2023-05-01 00:42:59.000 UTC,LINK,Tracked Wallet Buy & Sell,5619.041999999999,6.6,Jump,Jump,25388039.778178975,851.3699999999999,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0x514910771af9ca656af840dff83e8264ecf986ca,0xc3289a8edf0de8b6d2f2b11ab9468e94e3951fa659f68e456a7f0cc6616b930a,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
2023-05-01 00:43:59.000 UTC,USDT,Sell,69510.05202541398,1.001,Jump,,939835820.9434662,69440.611414,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8246369c73e1e3dbd7af54efb3ec23082507056faafbb3705899946f2989c219,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
