id,category,name,address,symbol,tvl,mcap,slug,TVL (7dma),TVL (1mma),Volume (7dma),Volume (1mma),Holders (7d delta),Holders (1m delta),Status,DAU_7DMA_PER,DAU_30DMA_PER,TX_7DMA_PER,TX_30DMA_PER,AVG_RETURNING_USERS_7D,AVG_RETURNING_USERS_30D,AVG_NEW_USERS_7D,AVG_NEW_USERS_30D
319,Yield,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,3025719031.0081763,292035078.57889104,convex-finance,0.023795117981245006,-0.01202894486463113,,,0.005261851576073467,0.026562579206164137,1,-12.098623853200,-1.991243701700,-11.329305136000,-1.788693105400,90.000000,99.383333,12.133333,16.166667
2198,Dexes,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,2802321913.687159,,uniswap-v3,0.0471409853842224,-0.02667073211942861,0.0174,-0.11220000000000001,0.0021911533948741147,-0.04232498324940022,1,-8.600309093200,-5.519043609700,-10.497181235800,-5.121441184000,2514.400000,6077.658065,767.900000,1958.038710
2274,CEX,Kucoin,,-,2579017789.336021,,kucoin,0.03100592344898634,-0.05984105617652569,,,,,1,-9.731373542800,-3.921568920100,-9.933774834400,-4.123430354700,50.062500,49.220339,61.250000,62.050847
2222,Liquid Staking,Coinbase Wrapped Staked ETH,,-,2121059086.5117311,,coinbase-wrapped-staked-eth,0.0702839636744994,-0.04403564806110327,,,,,1,-4.020324147900,-1.354993097600,-5.215570860800,-1.592189973000,5308.125000,3577.096774,4396.500000,3590.290323
120,Services,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,2029418058.9732556,24780307.025029887,instadapp,0.024023345097198057,-0.030240137577167925,,,-0.0002852253280091272,0.00028538812785388126,1,-6.060606060600,1.020407132400,4.347826087000,1.452695573600,2.600000,1.944444,2.800000,1.888889
2273,CEX,Deribit,,-,1949621035.548121,,deribit,0.10081630218236448,-0.010394969631887463,,,,,No Data,,,,,,,,
1599,Lending,AAVE V3,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,1820627373.3915029,,aave-v3,0.0970854316602161,0.14429665790418422,,,-0.06538070562566632,-0.06549655411770539,1,-5.435350078300,-1.619641153600,-8.430372574000,-2.055195671600,390.525000,403.432258,424.575000,251.406452
900,Liquid Staking,Rocket Pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,RPL,1819350431.4900205,743572731.3569456,rocket-pool,0.06938698320068704,0.12445611390280975,,,0.006012693463979512,0.06094410521371536,1,36.363623966900,0E-12,36.363623966900,0E-12,0.000000,0.100000,5.000000,2.200000
2314,CEX,Gate-io,,-,1667425648.6155455,,gate-io,0.03261458505434267,-0.12808959072155746,,,,,No Data,,,,,,,,
2352,CEX,Bitget,,-,1445726250.5441525,,bitget,-0.020543697617848022,-0.012235638993765785,,,,,No Data,,,,,,,,
