id,category,name,address,symbol,tvl,mcap,slug,7dma_%,1mma_%,Volume_7d_%,Volume_1m_%,HolderCounts_7day%,HolderCounts_30day%
129,Chain,xDAI Stake Bridge,0x0Ae055097C6d159879521C384F1D2123D1f195e6,STAKE,157587585.49619085,1057038.7585382822,xdai-stake-bridge,-0.0015901168966796497,-0.0015483863504338613,,,0.0,-0.011340440009072352
1054,Bridge,ChainPort,0x104f3152d8ebfc3f679392977356962ff36566ac,PORTX,157210473.35999998,2496565.188721635,chainport,-0.006808291673665812,-0.0030485662553290105,,,0.6024096385542169,1.8292682926829267
2517,NFT Lending,ParaSpace Lending,,-,156170877.41325533,,paraspace-lending,-0.0040960008753715416,0.005065458032300629,,,NA,NA
231,Payments,Lightning Network,-,-,155978120.79141894,,lightning-network,-0.0017377428245616278,0.0008380349314034419,,,NA,NA
1981,Bridge,Orbit Bridge,eth:0x662b67d00A13FAf93254714DD601F5Ed49Ef2F51,ORC,147327393.8000224,0.0,orbit-bridge,-0.003234785739892443,-0.00788897696450419,,,NA,NA
467,Lending,Benqi Lending,avax:0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,138236040.582885,33806933.72945775,benqi-lending,-0.001458762137618863,-0.0037479786204557275,,,NA,NA
359,Algo-Stables,Frax,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,136774790.6529406,,frax,-0.0017386845931720574,-0.006557024341168227,,,0.32573289902280134,2.0919269298762524
1879,Liquid Staking,Acala LCDOT,acala:-,ACA,136738625.78405094,,acala-lcdot,-0.009594095940962943,-0.0037735849056600435,,,NA,NA
801,Bridge,cBridge,,CELR,136700447.90382555,120953341.67207956,cbridge,-0.007957467876857804,-0.0018155022809126509,,,NA,NA
2914,Liquid Staking,Binance staked ETH,,-,134782915.72137457,,binance-staked-eth,0.0006798456440246792,0.0007031897205433957,,,NA,NA
