id,Category,Name,Address,Symbol,TVL,Market Cap,Slug,TVL (7dma),TVL (1mma),Volume (7dma),Volume (1mma),Holder Counts (7day),Holder Counts (1mma)
2255,NFT Lending,NFTfi,,-,26687266.42957062,,nftfi,-9.541868654731389e-05,1.2446290053595987e-05,,,,
2309,CDP,Indigo,cardano:asset1u8caujpkc0km4vlwxnd8f954lxphrc8l55ef3j,INDY,26572891.918422215,6883212.507115777,indigo,-5.383842668928662e-05,1.5945336526028697e-05,,,,
1952,RWA,Lofty,,-,26548478.0561,,lofty,2.837698158919544e-06,-7.677450734858704e-06,,,,
2231,RWA,Tangible,polygon:0xb5DFABd7fF7F83BAB83995E72A52B97ABb7bcf63,USDR,26382139.515768416,0.0,tangible,2.78823419813401e-05,0.00014219601631670242,,,,
183,Lending,Wing Finance,-,WING,26323544.246999994,18896478.026333407,wing-finance,-4.885414589059889e-05,-2.2215280627428945e-05,,,,
397,Dexes,ShibaSwap,0x9813037ee2218799597d83d4a5b6f3b6778218d9,BONE,26134679.41609898,182060599.94556752,shibaswap,-0.00011435023504942076,-6.384515819274128e-05,0.3069,0.9490999999999999,-0.004644966152959815,0.010122049258203612
1883,Dexes,iZiSwap,0x9ad37205d608B8b219e6a2573f922094CEc5c200,IZI,25608416.48582896,,iziswap,-9.12814452925792e-07,0.0005171978896065576,-0.15039999999999998,0.9536,0.0062860136196961755,0.10402298850574714
1466,Dexes,ALEX,stacks:SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9,ALEX,25195390.807115342,54339560.377808735,alex,0.00044850151405940954,1.987898504483665e-05,,10.5824,,
117,Bridge,RenVM,0x408e41876cccdc0f92210600ef50372656052a38,REN,25150377.380601067,75096276.9196766,renvm,-6.891830837845836e-05,-5.2846498266584387e-05,,,0.0002515644162133266,-9.43040362127499e-05
2099,Dexes,OKCSwap,,-,25081256.211995967,,okcswap,-4.4308390574213654e-05,-2.2184315594327987e-05,0.1991,2.8507,,
1250,Yield,Llama Airforce,,-,24891109.28099914,,llama-airforce,-0.00011937089635101539,-4.289696473950832e-05,,,,
238,Dexes,Ellipsis Finance,bsc:0xA7f552078dcC247C2684336020c03648500C6d9F,EPS,24694805.990945898,24191165.574298106,ellipsis-finance,0.00010190347180533577,2.9760336345652227e-05,0.16649999999999998,1.0252,,
580,Dexes,SashimiSwap,0xC28E27870558cF22ADD83540d2126da2e4b464c2,SASHIMI,24285687.794978853,1243826.2816771213,sashimiswap,7.674437826885594e-06,-2.9205407818877484e-06,,,-0.00040551500405515005,-0.00040551500405515005
285,Options,Opyn Gamma,,-,24164426.392396312,,opyn-gamma,-3.570240961308424e-05,-3.6596490922664594e-05,,,,
2147,Derivatives,IPOR,0x1e4746dc744503b53b4a082cb3607b169a289090,IPOR,24067623.58155401,2303276.778398793,ipor,-0.0001241004364493514,-9.347295033047987e-05,,,-0.004878048780487805,-0.05027932960893855
1953,RWA,Toucan Protocol,,-,23798753.080000002,,toucan-protocol,7.839812761990084e-05,-5.717685435440267e-05,,,,
660,Options,Dopex,0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,DPX,23620926.58129356,37783940.76324554,dopex,-5.2670967872705534e-05,-3.609623426456432e-05,,,-0.0007423904974016332,0.0212443095599393
1491,Bridge,RelayChain,0x5d843fa9495d23de997c394296ac7b4d721e841c,RELAY,23608788.17210712,1137937.4472918715,relaychain,-0.00013653178451620285,-0.00014355354093212425,,,0.0,-0.0068560235063663075
573,Lending,Liqee,-,LQE,23518041.10278322,,liqee,-1.89650661046592e-05,-7.559492309358706e-05,,,,
1878,Derivatives,ApeX Protocol,0x52a8845df664d76c69d2eea607cd793565af42b8,APEX,23492670.58116078,11929726.050268058,apex-protocol,1.1131234054038153e-05,0.000501642134464726,,,0.0684931506849315,0.14146341463414633
1881,Indexes,Toros,,-,22990615.345376063,,toros,-3.85959036371164e-05,5.1456509140503924e-05,,,,
2622,Lending,Mare Finance,kava:0xd86C8d4279CCaFbec840c782BcC50D201f277419,MARE,22662203.287606556,,mare-finance,-0.0006103941344044351,-0.0001401206038461389,,,,
1303,Lending,Iron Bank,fantom:0x00a35FD824c717879BF370E70AC6868b95870Dfb,IB,22604519.303881966,277621.47476144216,iron-bank,2.4645422693556628e-05,-1.891082051262649e-05,,,,
2679,Lending,Kleva Lend,klaytn:0x5fff3a6c16c2208103f318f4713d4d90601a7313,KLEVA,22468625.507111266,,kleva-lend,-0.00020841848948409568,-7.861857632593394e-05,,,,
162,Dexes,Bancor V2.1,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,22405772.962910444,,bancor-v2.1,-8.732455886631963e-05,-8.007214450422628e-05,-0.9859,-0.9018,0.00022897267592733933,0.00393248384872705
1955,Lending,Parallel Lending,,-,21954566.22495977,,parallel-lending,-0.0006061736583995225,-0.00014664236063747005,,,,
1052,Dexes,Astroport,terra:terra1xj49zyqrwpv5k928jwfpfy2ha668nwdgkwlrg3,ASTRO,21943989.075750336,357248.98410680256,astroport,0.00011964710837053305,5.451974211733601e-05,,,,
458,Lending,Solend,solana:SLNDpmoWTVADgEdndyvWzroNL7zSi1dF9PC3xHGtPwp,SLND,21696777.87831995,13426023.397716748,solend,-5.687803526741586e-05,3.726468777447423e-05,,,,
1660,Dexes,Swappi,conflux:0x22f41abf77905f50df398f21213290597e7414dd,PPI,21456380.36344292,0.0,swappi,-0.00018981979296272877,-3.871985621165197e-05,0.48479999999999995,3.4158,,
483,NFT Marketplace,NFTX,0x87d73e916d7057945c9bcd8cdd94e42a6f47f776,NFTX,21391190.960474804,6454108.844678279,nftx,-0.0001022558852576938,7.259598098554587e-06,,,-0.0004200798151648813,-0.0031420192710515295
1738,Liquid Staking,Bifrost Liquid Staking,kusama:-,BNC,21277489.577970535,2886244.4715443426,bifrost-liquid-staking,-0.0013276210093987372,-0.0001580089996844869,,,,
2844,CDP,Sovryn Zero,rsk:0xEfC78FC7D48B64958315949279bA181C2114abbD,SOV,21094341.90868143,,sovryn-zero,-5.1331566253652875e-05,-1.767476573823701e-05,,,,
2137,CDP,DeFi Franc,0x045da4bFe02B320f4403674B3b7d121737727A36,DCHF,20943192.44886951,,defi-franc,-2.0925417507078327e-06,3.16157312080767e-05,,,0.0,0.010532150776053215
2289,Dexes,Cetus,,-,20941076.007169962,,cetus,0.002183725426161982,0.0021300708194401576,3865.8340999999996,2878.3920000000003,,
2108,Dexes,W3swap,bsc:0xc5db5afee4c55dfad5f2b8226c6ac882e6956a0a,OSK-DAO,20859226.122962143,,w3swap,-3.5253242374392315e-05,-5.9556338593624855e-05,,,,
329,Dexes,Sovryn Dex,rsk:0xEfC78FC7D48B64958315949279bA181C2114abbD,SOV,20697197.280759998,14038717.2307308,sovryn-dex,3.535790707928088e-05,-5.212274205339429e-05,,,,
2479,Leveraged Farming,DeltaPrime,,-,20588375.80788431,,deltaprime,1.139473320264095e-05,5.058685730819024e-05,,,,
434,Lending,Tarot,fantom:0xc5e2b037d30a390e62180970b3aa4e91868764cd,TAROT,20233473.62721217,4684203.314788112,tarot,-0.00030452909742571756,-0.0001467138043008265,,,,
151,Dexes,Rhino.fi,0xdddddd4301a082e62e84e43f474f044423921918,DVF,20138744.220441185,16986071.135717105,rhino.fi,5.08773817302699e-05,-3.399386868420118e-06,,,0.005330490405117271,0.0010615711252653928
251,CDP,Mimo Protocol,0x90b831fa3bebf58e9744a14d638e25b4ee06f9bc,MIMO,19959775.220901873,13356256.070568439,mimo-protocol,6.9476851223782e-06,-1.7803097359780918e-06,,,0.0003837298541826554,0.0030781069642170067
519,Dexes,Tezos Liquidity Baking,tezos:KT1TxqZ8QtKvLu3V3JH7Gx58n7Co8pgtpQU5,-,19798151.13835731,,tezos-liquidity-baking,-7.397590526203146e-05,-2.0024366587848564e-05,,,,
362,Derivatives,Perpetual Protocol,0xbc396689893d065f41bc2c6ecbee5e0085233447,PERP,19704304.02448375,41533577.77070594,perpetual-protocol,0.0001571048610470638,4.127671319777537e-05,,,0.0012887784221669888,0.005082239881722417
2920,Indexes,LSDx ETHx,0xfAC77A24E52B463bA9857d6b758ba41aE20e31FF,LSD,19704162.283495966,,lsdx-ethx,3.4401673256878594e-06,-3.918735813866814e-05,,,-0.02974504249291785,-0.1251596424010217
1315,Liquid Staking,NeoBurger,,-,19600548.77129396,,neoburger,-0.00016943573365044818,-8.89094999695661e-05,,,,
2644,Dexes,Maverick Protocol,,-,19224449.964680452,,maverick-protocol,9.217396130136724e-06,2.38276544638949e-05,0.9881,1.4066,,
2086,Yield,Rage Trade,,-,19078850.972575393,,rage-trade,1.2614650292117612e-05,-8.530601165973594e-06,,,,
2332,Dexes,Equalizer Exchange,fantom:0x3Fd3A0c85B70754eFc07aC9Ac0cbBDCe664865A6,EQUAL,19031050.757153105,729114.0124066019,equalizer-exchange,-0.0004881754338161104,-0.0002261117803830426,0.9224,0.9065000000000001,,
2782,RWA,Aktionariat,0x6f38e0f1a73c96cb3f42598613ea3474f09cb200,DAKS,18979757.54716597,,aktionariat,8.775265628626628e-06,0.0006620616726933726,,,0.005617977528089888,0.022857142857142857
127,Dexes,KyberSwap Classic,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,KNC,18892436.23370578,,kyberswap-classic,-0.00015844721335974142,-2.65448017728942e-05,0.3259,3.5109,0.0023720772619451034,0.012181768409526417
2685,Dexes,Arbitrum Exchange,arbitrum:0xD5954c3084a1cCd70B4dA011E67760B8e78aeE84,ARX,18871792.171574354,0.0,arbitrum-exchange,-0.00043931888987444823,-0.0004898783961868846,,,,
1979,Dexes,SaucerSwap,hedera:0.0.731861,SAUCE,18813585.1009,6233474.640306005,saucerswap,-0.00013199884246249295,-4.493256342067764e-05,-0.3834,-0.235,,
1726,Dexes,Meshswap,polygon:0x82362ec182db3cf7829014bc61e9be8a2e82868a,MESH,18805534.545862112,0.0,meshswap,-4.025706528899997e-05,-4.1834681035481935e-05,0.799,1.1344,,
726,Yield,Solo Top,,-,18719348.981248222,,solo-top,0.00019509318269071542,4.421108598431145e-05,,,,
2112,Liquid Staking,Stake.ly,klaytn:0xF80F2b22932fCEC6189b9153aA18662b15CC9C00,stKLAY,18676852.547998898,,stake.ly,-8.039551875936412e-05,-4.8510758287101385e-05,,,,
2675,Dexes,Ramses Exchange,arbitrum:0xaaa6c1e32c55a7bfa8066a6fae9b42650f262418,RAM,18588450.428437576,1167074.3215795285,ramses-exchange,-0.000971443201156057,-0.00012903240115996195,-0.32030000000000003,0.1977,,
